Name,Description
a5,Hierarchical pentagonial indexing for geospatial data that is equal-area and millimeter accurate.
acp,Natural language to SQL via Claude Code using the Agent Client Protocol (ACP). Query your data with plain English via CLAUDE statements or the claude() table function.
adbc_scanner,An ADBC client extension for DuckDB that can access ADBC provided data sources.
agent_data,"A DuckDB extension written in Rust for querying, analysing and inspecting AI coding agents history. Read conversations, plans, todos, history, and usage stats directly from your local agent data directories."
airport,"The Airport extension brings Arrow Flight support to DuckDB, enabling DuckDB to query, modify, and store data from Arrow Flight servers."
aixchess,Efficiently query large chess game collections
anndata,"Read AnnData (.h5ad) files for single-cell genomics data analysis, with support for local and remote (HTTP/HTTPS/S3) files"
anofox_forecast,"Statistical timeseries forecasting in DuckDB. Support ARIMA, SARIMA, ETS, TBATS, MFLES, MSTL, and other models."
anofox_statistics,"A DuckDB extension for statistical regression analysis, providing OLS, Ridge, WLS, and time-series regression capabilities with complete diagnostics and inference directly in SQL."
anofox_tabular,A duckdb extension which combines data quality and data preparation tools for tabular data.
arrow,"This extension is an alias to the nanoarrow extension. Allows the consumption and production of the Apache Arrow interprocess communication (IPC) format, both from files and directly from stream buffers."
astro,"Astronomical calculations + FITS file I/O - coordinate transforms, photometry, cosmology, dust extinction, sidereal time"
behavioral,"Behavioral analytics functions inspired by ClickHouse (sessionize, retention, window_funnel, sequence_match, sequence_count, sequence_match_events, sequence_next_node)"
bigquery,"Integrates DuckDB with Google BigQuery, allowing direct querying and management of BigQuery datasets"
bitfilters,"Provides high-performance, space-efficient probabilistic data structures—including quotient, XOR, and binary fuse filters—for fast approximate set membership testing with no false negatives and configurable false positive rates."
blockduck,Live SQL Queries on Blockchain
boilstream,"Secure remote secrets storage with OPAQUE PAKE authentication, email/password registration, MFA login, and automatic ducklake mounting"
brew,"Get locally homebrew casks, packages and formulas and their dependencies as nicely types tables"
bvh2sql,BVH (BioVision Hierarchy) motion capture file parser for DuckDB
cache_httpfs,Read cached filesystem for httpfs
cache_prewarm,"Prewarm data blocks into DuckDB's buffer pool or OS page cache for faster queries"
capi_quack,Provides a hello world example demo from the C/C++ C API template
cassandra,"Connect to Apache Cassandra, ScyllaDB, and DataStax Astra databases directly from DuckDB. Query Cassandra tables using SQL with support for all major Cassandra data types, SSL/TLS connections, and cloud deployments."
celestial,Astronomical coordinates utilities
chaos,"Creates chaos! ⋆✴︎˚｡⋆ Chaos allows you to throw any type of DuckDB exception, or to raise a SIGSEGV, SIGABRT, or SIGBUS signal."
chess,A DuckDB extension for parsing and analyzing chess games in PGN format.
chsql,ClickHouse SQL Macros for DuckDB
chsql_native,ClickHouse Native Client & File Reader for chsql
cityjson,"Read, write, and query CityJSON, CityJSONSeq, and FlatCityBuf 3D city model files."
clamp,"Provides mathematical clamp functions for numeric types in DuckDB, including general clamping, saturate, and others. Ensures values stay within a specified range and handles NULLs and NaNs correctly."
cloudfront,AWS CloudFront signed cookie authentication for DuckDB httpfs
crawler,SQL-native web crawler with HTML extraction and MERGE support
cronjob,DuckDB HTTP Cronjob Extension
crypto,Cryptographic hash functions and HMAC
curl_httpfs,"httpfs with connection pool, HTTP/2 and async IO."
cwiqduck,DuckDB filesystem extension for CWIQ FS
dash,A fully visual data explorer and GUI for DuckDB. Create interactive dashboards and DAG pipelines.
datasketches,"By utilizing the Apache DataSketches library this extension can efficiently compute approximate distinct item counts and estimations of quantiles, while allowing the sketches to be serialized."
dazzleduck,Arrow IPC over HTTP client with array functions and bloom filters
decimal_arithmetic,Extension that adds support special decimal arithmetic functions
delta_classic,Attach a directory of Delta tables as a single DuckDB database with automatic schema discovery
delta_export,Export DuckLake catalog tables to Delta Lake format
dns,The DNS Extension enables DNS lookups and reverse DNS lookups from within DuckDB
dplyr,R dplyr pipeline syntax support for DuckDB - transpiles dplyr verbs to SQL
dqtest,Define and run data-quality tests inside DuckDB
duck_block_utils,"Build, transform, validate, and extract content from structured documents using the duck_block type"
duck_delta_share,DuckDB Extension for Delta Sharing
duck_dggs,DuckDB extension for discrete global grid systems (DGGS) powered by DGGRID v8.
duck_geoarrow,"DuckDB extension for converting GEOMETRY/WKB to and from GeoArrow native encodings, powered by geoarrow-c. Built against DuckDB v1.5.2"
duck_hunt,"Parse and analyze test results, build outputs, and CI/CD pipeline logs from 110+ formats with severity filtering, format auto-detection, and context extraction"
duck_lineage,The Duck Lineage extension automatically captures query lineage events and sends them to an Open Lineage backend.
duck_lk,Query LabKey Server tables with automatic local Parquet caching
duck_tails,"Smart Development Intelligence for DuckDB - Git-aware data analysis capabilities that allow querying git history, accessing files at any revision, and performing version-aware data analysis with SQL."
duckdb_geoip_rs,Retrieve geo ip data from MMDB database
duckdb_mcp,Model Context Protocol (MCP) extension for DuckDB that enables seamless integration between SQL databases and MCP servers. Provides both client capabilities for accessing remote MCP resources via SQL and server capabilities for exposing database content as MCP resources.
midi,"Read, analyze, generate, and play MIDI files with SQL. Provides table functions for parsing Standard MIDI Files, scalar functions for note/frequency conversion, and macOS playback via AudioToolbox."
duckdb_zarr,"Explore Zarr stores with SQL through relational metadata, chunk discovery, and dense cell scans"
duckdbi,"Browser-based BI dashboard extension for DuckDB. Run SQL queries and build interactive dashboards with drag-and-drop charts, all from the DuckDB CLI."
duckgl,DuckDB geospatial visualization with deck.gl and MapLibre
duckherder,Run duckdb query on remote server
duckhog,Query PostHog data warehouse from DuckDB over Arrow Flight SQL
duckhts,DuckDB extension for reading HTS file formats via htslib
duckpgq,Extension that adds support for SQL/PGQ and graph algorithms
ducksmiles,"Cheminformatics toolkit for DuckDB - SMILES, InChI, MOL/SDF, PDB, and SELFIES molecular analysis from SQL"
ducksync,Intelligent query result caching between DuckDB and Snowflake with TTL and smart refresh
ducktinycc,"DuckDB C extension for in-process JIT compiled C UDFs via TinyCC — self-contained, no external runtime required"
eeagrid,Extension that adds support for working with the EEA Reference Grid System.
eenddb,"The long-awaited Dutch localization of DuckDB's SQL dialect"
elasticsearch,Query Elasticsearch indices directly using SQL
erpl_web,"ERPL is a DuckDB extension to connect to API based ecosystems via standard interfaces like OData, GraphQL and REST. This works e.g. for SAP ERP, SAP Ariba, SAP C4C, Microsoft Dynamics and many more."
eurostat,Extension that adds support for reading data from EUROSTAT database using SQL.
evalexpr_rhai,Evaluate the Rhai scripting language in DuckDB
events,A extension that hooks into database events and sends JSON-formatted notifications to external programs.
faiss,Provides access to faiss indices from DuckDB.
fakeit,The FakeIt Extension enables generation of realistic fake/test data directly in SQL queries
file_dialog,Choose a file via native file dialog
